Station Date      Time   Pred6  Backup Acoustc
8518750 20121029 22:48    3.57   11.87    7.09
8518750 20121029 22:54    3.46   11.61    7.03
8518750 20121029 23:00    3.35   11.32    7.18
8518750 20121029 23:06    3.23   11.04    7.26
8518750 20121029 23:12    3.11   10.78    7.24
8518750 20121029 23:18    3.00   10.47    6.43
8518750 20121029 23:24    2.88   10.15    6.80
8518750 20121029 23:30    2.76    9.81    7.67
8518750 20121029 23:36    2.65    9.54    8.14
8518750 20121029 23:42    2.53    9.22    8.31
8518750 20121029 23:48    2.42    8.92    8.32
8518750 20121029 23:54    2.31    8.62    8.29
8518750 20121030 00:00    2.20    8.35    8.17
8518750 20121030 00:06    2.10    8.03    7.94
8518750 20121030 00:12    1.99    7.77    7.71
8518750 20121030 00:18    1.89    7.58    7.53
8518750 20121030 00:24    1.79    7.42    7.36
8518750 20121030 00:30    1.70    7.20    7.19
8518750 20121030 00:36    1.60    7.06    7.00
8518750 20121030 00:42    1.51    6.87    6.84
8518750 20121030 00:48    1.42    6.71    6.68
8518750 20121030 00:54    1.33    6.54    6.51
8518750 20121030 01:00    1.25    6.40    6.36
8518750 20121030 01:06    1.16    6.26    6.22
8518750 20121030 01:12    1.08    6.13    6.09
8518750 20121030 01:18    1.00    5.99    5.96
8518750 20121030 01:24    0.92    5.85    5.84
8518750 20121030 01:30    0.85    5.77    5.74
8518750 20121030 01:36    0.77    5.64    5.62
8518750 20121030 01:42    0.70    5.52    5.51
8518750 20121030 01:48    0.63    5.36    5.35
8518750 20121030 01:54    0.56    5.21    5.20
8518750 20121030 02:00    0.50    5.08    5.08
8518750 20121030 02:06    0.44    4.94    4.94
8518750 20121030 02:12    0.38    4.80    4.80
8518750 20121030 02:18    0.33    4.70    4.67
8518750 20121030 02:24    0.29    4.55    4.53
8518750 20121030 02:30    0.24    4.44    4.41
8518750 20121030 02:36    0.21    4.32    4.31
8518750 20121030 02:42    0.18    4.21    4.20
8518750 20121030 02:48    0.16    4.10    4.08
8518750 20121030 02:54    0.15    4.00    3.96
8518750 20121030 03:00    0.14    3.91    3.87
8518750 20121030 03:06    0.14    3.81    3.79
8518750 20121030 03:12    0.16    3.77    3.75
8518750 20121030 03:18    0.18    3.71    3.68
8518750 20121030 03:24    0.21    3.67    3.63
8518750 20121030 03:30    0.25    3.64    3.61
8518750 20121030 03:36    0.30    3.63    3.61
8518750 20121030 03:42    0.36    3.67    3.64
8518750 20121030 03:48    0.43    3.69    3.67
8518750 20121030 03:54    0.50    3.72    3.71
8518750 20121030 04:00    0.59    3.81    3.79
8518750 20121030 04:06    0.68    3.88    3.87
8518750 20121030 04:12    0.78    4.00    3.99
8518750 20121030 04:18    0.89    4.07    4.05
8518750 20121030 04:24    1.00    4.14    4.14
8518750 20121030 04:30    1.12    4.21    4.20
8518750 20121030 04:36    1.24    4.30    4.30
8518750 20121030 04:42    1.37    4.41    4.41
8518750 20121030 04:48    1.50    4.52    4.53
8518750 20121030 04:54    1.63    4.65    4.66
8518750 20121030 05:00    1.77    4.79    4.81
8518750 20121030 05:06    1.91    4.95    4.97
8518750 20121030 05:12    2.05    5.08    5.13
8518750 20121030 05:18    2.19    5.21    5.28
8518750 20121030 05:24    2.32    5.36    5.44
8518750 20121030 05:30    2.46    5.50    5.57
8518750 20121030 05:36    2.60    5.60    5.71
8518750 20121030 05:42    2.73    5.75    5.87
8518750 20121030 05:48    2.87    5.89    6.00
8518750 20121030 05:54    3.00    5.99    6.11
8518750 20121030 06:00    3.13    6.09    6.21
8518750 20121030 06:06    3.25    6.17    6.27
8518750 20121030 06:12    3.38    6.27    6.40
8518750 20121030 06:18    3.50    6.37    6.50
8518750 20121030 06:24    3.62    6.43    6.54
8518750 20121030 06:30    3.73    6.51    6.62
8518750 20121030 06:36    3.84    6.56    6.70
8518750 20121030 06:42    3.95    6.61    6.75
8518750 20121030 06:48    4.06    6.70    6.80
8518750 20121030 06:54    4.16    6.74    6.86
8518750 20121030 07:00    4.25    6.81    6.93
8518750 20121030 07:06    4.35    6.84    6.98
8518750 20121030 07:12    4.44    6.92    7.04
8518750 20121030 07:18    4.52    6.93    7.07
8518750 20121030 07:24    4.60    6.93    7.09
8518750 20121030 07:30    4.68    6.96    7.09
8518750 20121030 07:36    4.76    6.95    7.10
8518750 20121030 07:42    4.83    6.96    7.12
8518750 20121030 07:48    4.89    6.97    7.12
8518750 20121030 07:54    4.95    7.01    7.15
8518750 20121030 08:00    5.01    7.02    7.15
8518750 20121030 08:06    5.07    7.02    7.15
8518750 20121030 08:12    5.11    7.03    7.16
8518750 20121030 08:18    5.16    7.02    7.16
8518750 20121030 08:24    5.20    7.01    7.15
8518750 20121030 08:30    5.23    7.03    7.17
8518750 20121030 08:36    5.26    7.05    7.21
8518750 20121030 08:42    5.29    7.13    7.28
8518750 20121030 08:48    5.31    7.18    7.32
8518750 20121030 08:54    5.32    7.19    7.34
8518750 20121030 09:00    5.33    7.17    7.31
8518750 20121030 09:06    5.33    7.13    7.26
8518750 20121030 09:12    5.33    7.11    7.24
8518750 20121030 09:18    5.32    7.12    7.26
8518750 20121030 09:24    5.31    7.12    7.26
8518750 20121030 09:30    5.29    7.11    7.25
8518750 20121030 09:36    5.26    7.12    7.25
8518750 20121030 09:42    5.23    7.16    7.30
8518750 20121030 09:48    5.19    7.20    7.36
8518750 20121030 09:54    5.14    7.24    7.38
8518750 20121030 10:00    5.10    7.28    7.41
8518750 20121030 10:06    5.04    7.29    7.44
8518750 20121030 10:12    4.97    7.33    7.48
8518750 20121030 10:18    4.90    7.31    7.47
8518750 20121030 10:24    4.83    7.27    7.42
8518750 20121030 10:30    4.75    7.24    7.40
8518750 20121030 10:36    4.66    7.19    7.34
8518750 20121030 10:42    4.57    7.11    7.25
8518750 20121030 10:48    4.47    6.99    7.14
8518750 20121030 10:54    4.37    6.87    7.01
8518750 20121030 11:00    4.27    6.72    6.88
8518750 20121030 11:06    4.16    6.64    6.79
8518750 20121030 11:12    4.05    6.56    6.69
8518750 20121030 11:18    3.93    6.46    6.61
8518750 20121030 11:24    3.81    6.37    6.53
8518750 20121030 11:30    3.69    6.25    6.41
8518750 20121030 11:36    3.57    6.11    6.28
8518750 20121030 11:42    3.45    6.01    6.18
8518750 20121030 11:48    3.33    5.91    6.07
8518750 20121030 11:54    3.21    5.78    5.98
8518750 20121030 12:00    3.09    5.66    5.83
8518750 20121030 12:06    2.97    5.49    5.64
8518750 20121030 12:12    2.86    5.31    5.49
8518750 20121030 12:18    2.74    5.15    5.29
8518750 20121030 12:24    2.63    5.03    5.16
8518750 20121030 12:30    2.51    4.91    5.02
8518750 20121030 12:36    2.40    4.78    4.90
8518750 20121030 12:42    2.29    4.64    4.74
8518750 20121030 12:48    2.19    4.51    4.59
8518750 20121030 12:54    2.08    4.36    4.44
8518750 20121030 13:00    1.98    4.21    4.29
8518750 20121030 13:06    1.88    4.05    4.11
8518750 20121030 13:12    1.78    3.91    3.96
8518750 20121030 13:18    1.68    3.76    3.81
8518750 20121030 13:24    1.58    3.63    3.68
8518750 20121030 13:30    1.49    3.51    3.56
8518750 20121030 13:36    1.39    3.40    3.43
8518750 20121030 13:42    1.30    3.30    3.34
8518750 20121030 13:48    1.21    3.21    3.23
8518750 20121030 13:54    1.12    3.08    3.09
8518750 20121030 14:00    1.03    2.94    2.96
8518750 20121030 14:06    0.94    2.83    2.83
8518750 20121030 14:12    0.85    2.73    2.72
8518750 20121030 14:18    0.77    2.62    2.61
8518750 20121030 14:24    0.69    2.51    2.49
8518750 20121030 14:30    0.60    2.40    2.39
8518750 20121030 14:36    0.53    2.34    2.31
8518750 20121030 14:42    0.46    2.23    2.21
8518750 20121030 14:48    0.39    2.14    2.11
